site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
GUAT 00JUL28 2000.5722 51753 1072 5  -90.5  -2174 -0.780372   1613669  0.130760  1519  0.850614  0.0000 0.001046 0.000898 0.004067  0.079692 -0.128762 -0.036408  14.5904039712  -90.5201831457  1519.85061
GUAT 00JUL29 2000.5749 51754 1072 6  -90.5  -2174 -0.779355   1613669  0.133905  1519  0.852540  0.0000 0.001014 0.000845 0.003770  0.086679 -0.070204 -0.059267  14.5904039996  -90.5201831364  1519.85254
GUAT 00JUL30 2000.5777 51755 1073 0  -90.5  -2174 -0.776256   1613669  0.130483  1519  0.851777  0.0000 0.001036 0.000905 0.004071  0.030298 -0.139707 -0.066239  14.5904039686  -90.5201831078  1519.85178
GUAT 00JUL31 2000.5804 51756 1073 1  -90.5  -2174 -0.778243   1613669  0.130576  1519  0.858340  0.0000 0.000932 0.000815 0.003708  0.040688 -0.075222 -0.086451  14.5904039694  -90.5201831264  1519.85834
GUAT 00AUG01 2000.5832 51757 1073 2  -90.5  -2174 -0.782824   1613669  0.134738  1519  0.854636  0.0000 0.001041 0.000889 0.003909  0.004154 -0.056035 -0.030535  14.5904040069  -90.5201831691  1519.85464
GUAT 00AUG02 2000.5859 51758 1073 3  -90.5  -2174 -0.780208   1613669  0.132068  1519  0.857267  0.0000 0.000957 0.000829 0.003714  0.045004 -0.091209 -0.098107  14.5904039828  -90.5201831450  1519.85727
GUAT 00AUG03 2000.5886 51759 1073 4  -90.5  -2174 -0.782494   1613669  0.131464  1519  0.854880  0.0000 0.000954 0.000813 0.003612  0.027278 -0.073003 -0.070010  14.5904039773  -90.5201831663  1519.85488
GUAT 00AUG04 2000.5914 51760 1073 5  -90.5  -2174 -0.781704   1613669  0.133198  1519  0.858557  0.0000 0.000980 0.000857 0.003812  0.065596 -0.095157 -0.045398  14.5904039929  -90.5201831592  1519.85856
GUAT 00AUG05 2000.5941 51761 1073 6  -90.5  -2174 -0.781039   1613669  0.131373  1519  0.856862  0.0000 0.000978 0.000830 0.003763  0.066423 -0.053163 -0.046731  14.5904039764  -90.5201831531  1519.85686
GUAT 00AUG06 2000.5969 51762 1074 0  -90.5  -2174 -0.783621   1613669  0.130006  1519  0.852864  0.0000 0.001005 0.000838 0.003813  0.045522 -0.062018 -0.088702  14.5904039640  -90.5201831773  1519.85286
GUAT 00AUG07 2000.5996 51763 1074 1  -90.5  -2174 -0.779973   1613669  0.131718  1519  0.858565  0.0000 0.000968 0.000852 0.003843  0.057283 -0.099032 -0.077575  14.5904039794  -90.5201831436  1519.85857
GUAT 00AUG08 2000.6023 51764 1074 2  -90.5  -2174 -0.781697   1613669  0.131526  1519  0.853921  0.0000 0.000950 0.000813 0.003727  0.051941 -0.061210 -0.127244  14.5904039776  -90.5201831597  1519.85392
GUAT 00AUG09 2000.6051 51765 1074 3  -90.5  -2174 -0.781999   1613669  0.130186  1519  0.861078  0.0000 0.001002 0.000869 0.003811  0.019836 -0.047508 -0.055372  14.5904039655  -90.5201831627  1519.86108
GUAT 00AUG10 2000.6078 51766 1074 4  -90.5  -2174 -0.779745   1613669  0.134946  1519  0.845852  0.0000 0.001109 0.000930 0.004298  0.135335 -0.089530 -0.015872  14.5904040085  -90.5201831419  1519.84585
GUAT 00AUG11 2000.6105 51767 1074 5  -90.5  -2174 -0.783748   1613669  0.132385  1519  0.853761  0.0000 0.000960 0.000853 0.003883  0.018784 -0.075178 -0.049757  14.5904039853  -90.5201831793  1519.85376
GUAT 00AUG12 2000.6133 51768 1074 6  -90.5  -2174 -0.780818   1613669  0.134291  1519  0.855772  0.0000 0.000972 0.000815 0.003742  0.056223 -0.080543 -0.061093  14.5904040024  -90.5201831522  1519.85577
GUAT 00AUG13 2000.6160 51769 1075 0  -90.5  -2174 -0.781200   1613669  0.134978  1519  0.861726  0.0000 0.001024 0.000901 0.004015  0.077861 -0.111685 -0.032909  14.5904040086  -90.5201831559  1519.86173
GUAT 00AUG14 2000.6188 51770 1075 1  -90.5  -2174 -0.780887   1613669  0.134642  1519  0.874812  0.0000 0.001034 0.000867 0.004049  0.078324 -0.083260 -0.037173  14.5904040055  -90.5201831532  1519.87481
